studioLabel,genreLabel
AXsiZ,animé et manga comique
AXsiZ,animé et manga sur les histoires de vie
AXsiZ,vampire anime and manga
AXsiZ,ecchi
AXsiZ,harem
AXsiZ,anime de science-fiction
AXsiZ,animé et manga comédie-romantique
AXsiZ,manga et animé de fantasy
Atelier Pontdarc,animé et manga comique
Atelier Pontdarc,manga et animé de fantasy
Atelier Pontdarc,isekai
Blade,manga et animé de fantasy
Blade,animé et manga comédie-romantique
Blade,animé et manga comique
Chaos Project,magical girl
Chaos Project,manga et animé de fantasy
CygamesPictures,manga et animé de fantasy
DLE,animé et manga comique
Drive,animé et manga comique
Drive,manga et animé de fantasy
Drive,manga ou anime d'aventure
Drive,isekai
E&G Films,animé et manga comique
E&G Films,manga et animé de fantasy
E&G Films,manga ou anime d'aventure
Gaina,animé et manga comique
Gaina,animé et manga sur les histoires de vie
Hornets,manga et animé de fantasy
Hornets,isekai
Knack Productions,mecha
Knack Productions,animé et manga comique
Kokusai Eiga-sha,manga et animé de genre drama
Kokusai Eiga-sha,manga et animé romantique
Kokusai Eiga-sha,manga ou anime d'aventure
Kokusai Eiga-sha,animé et manga en milieu scolaire
Kokusai Eiga-sha,adaptation d'un roman à la télévision
Kokusai Eiga-sha,animé et manga comique
Kokusai Eiga-sha,manga et animé de fantasy
"Lide, Inc.",émission de variétés
"Lide, Inc.",animé et manga comique
Nexus,cute girls doing cute things
Nexus,manga et animé de fantasy
Nexus,isekai
Radix,récit initiatique
Radix,manga et animé de genre drama
Radix,manga et animé de fantasy
Radix,animé mystère
Radix,animé surnaturel
Radix,ecchi
Radix,anime de science-fiction
Radix,animé et manga d'horreur
Radix,manga et anime d'action
Radix,animé et manga comédie-romantique
Seven,animé et manga comédie-romantique
Seven,thème voyage dans le temps
Seven,animé et manga comique
Shuka,anime et manga à mystère
Studio Blanc,isekai
Studio Blanc,animé et manga comique
Studio Blanc,animé et manga en milieu scolaire
Studio Kai,manga et animé de fantasy
Studio Kai,isekai
Studio Matrix,animé et manga comique
Studio Matrix,animé et manga sur les histoires de vie
Studio Mother,animé et manga comédie-romantique
Studio Palette,manga et animé de fantasy
Studio Palette,isekai
Sublimation Inc.,anime de science-fiction
Sublimation Inc.,manga et anime d'action
Sunrise Beyond,mecha
Tomason,post-apocalyptic anime
Trans Arts,animé et manga comique
Trans Arts,récit initiatique
Trans Arts,manga et animé de fantasy
Trans Arts,manga ou anime d'aventure
Trans Arts,anti-war fiction
Vega Entertainment,manga et anime d'action
Yaoyorozu,post-apocalyptic anime
3Hz,anime de science-fiction
8-Bit,manga et animé de fantasy
8-Bit,isekai
8-Bit,mecha
8-Bit,manga et animé romantique
8-Bit,anime de science-fiction
8-Bit,visual novel
8-Bit,eroge
8-Bit,romance adventure game
8-Bit,science-fiction douce
8-Bit,animé et manga sur les histoires de vie
8-Bit,manga et anime d'action
8-Bit,animé et manga comique
8-Bit,harem
8-Bit,animé et manga en milieu scolaire
8-Bit,spokon
A-1 Pictures,anime de science-fiction
A-1 Pictures,animé et manga en milieu scolaire
A-1 Pictures,anime et manga à mystère
A-1 Pictures,manga et anime d'action
A-1 Pictures,dark fantasy
A-1 Pictures,animé et manga comique
A-1 Pictures,manga et animé romantique
A-1 Pictures,manga ou anime d'aventure
A-1 Pictures,drame juridique
A-1 Pictures,mystère
A-1 Pictures,série télévisée policière
A-1 Pictures,suspense anime and manga
A-1 Pictures,animé mystère
A-1 Pictures,thème voyage dans le temps
A-1 Pictures,comédie
A-1 Pictures,comédie télévisuelle
A-1 Pictures,animé et manga sur les histoires de vie
A-1 Pictures,animé et manga comédie-romantique
A-1 Pictures,vie quotidienne
A-1 Pictures,gag anime
A-1 Pictures,animé romantique
A-1 Pictures,série d'animation japonaise basée sur un manga
A-1 Pictures,manga et animé de fantasy
A-1 Pictures,science-fiction militaire
A-1 Pictures,mecha
A-1 Pictures,manga et animé de genre drama
A-1 Pictures,love triangle romance
A-1 Pictures,récit initiatique
A-1 Pictures,supernatural anime and manga
A-1 Pictures,harem
A-1 Pictures,vampire anime and manga
A-1 Pictures,comédie d'amour
A-1 Pictures,work life
A.C.G.T,mecha
A.C.G.T,manga et anime d'action
A.C.G.T,anime de science-fiction
A.C.G.T,manga et animé de fantasy
A.C.G.T,manga ou anime d'aventure
A.C.G.T,harem
A.C.G.T,manga et animé de genre drama
A.C.G.T,ecchi anime and manga
A.C.G.T,supernatural anime and manga
A.C.G.T,historical anime and manga
ARTMIC Studios,mecha
ARTMIC Studios,manga ou anime d'aventure
ARTMIC Studios,post-apocalyptic anime and manga
ARTMIC Studios,science-fiction
ARTMIC Studios,film d'aventure
Actas,magical girl
Actas,manga et animé de fantasy
Actas,manga et anime d'action
Actas,cute girls doing cute things
Actas,anime de science-fiction
Actas,mecha
Ajiadō,anime de science-fiction
Ajiadō,manga et animé de fantasy
Ajiadō,anime et manga à mystère
Ajiadō,manga et animé de genre drama
Ajiadō,harem
Ajiadō,animé et manga comique
Ajiadō,isekai
Anime International Company,cyberpunk
Anime International Company,anime de science-fiction
Anime International Company,post-apocalyptic anime and manga
Anime International Company,magical girl
Anime International Company,animé et manga comique
Anime International Company,ecchi
Anime International Company,harem
Anime International Company,animé et manga en milieu scolaire
Anime International Company,animé et manga comédie-romantique
Anime International Company,visual novel
Anime International Company,eroge
Anime International Company,manga et animé de genre drama
Anime International Company,mecha
Anime International Company,manga et anime d'action
Anime International Company,manga et animé romantique
Anime International Company,manga et animé de fantasy
Anime International Company,manga ou anime d'aventure
Anime International Company,yonkoma
Anime International Company,animé thriller
Anime International Company,animé et manga sur les histoires de vie
Anime International Company,animé et manga d'horreur
Anime International Company,supernatural anime and manga
Anime International Company,séries télévisées sur le thème des LGBTI+
Anime International Company,yuri
Anime International Company,fiction militaire
Arms Corporation,harem
Arms Corporation,anime de science-fiction
Arms Corporation,animé et manga d'horreur
Arms Corporation,dark fantasy
Arms Corporation,supernatural anime and manga
Arms Corporation,ecchi
Artland,animé et manga en milieu scolaire
Artland,animé et manga comique
Artland,manga et anime d'action
Artland,manga et animé de fantasy
Artland,Détective de l'occulte
Artland,animé mystère
Artland,animé surnaturel
Artland,ecchi
Artland,harem
Arvo Animation,manga et animé de fantasy
Arvo Animation,anime de science-fiction
Arvo Animation,vampire anime and manga
Asahi Production,manga et animé de fantasy
Asahi Production,animé et manga comique
Asahi Production,animé et manga comédie-romantique
Ashi Productions,manga et anime d'action
Ashi Productions,manga ou anime d'aventure
Ashi Productions,anime de science-fiction
Ashi Productions,magical girl
Ashi Productions,manga et animé de genre drama
Ashi Productions,mecha
Ashi Productions,manga et animé de fantasy
Ashi Productions,harem
Ashi Productions,isekai
Ashi Productions,supernatural anime and manga
Asread,manga et animé de genre drama
Asread,manga et animé de fantasy
Asread,animé et manga comédie-romantique
Asread,isekai
Asread,anime de science-fiction
Asread,manga et anime d'action
Asread,supernatural anime and manga
Asread,animé thriller
Bandai Namco Filmworks,tragédie
Bandai Namco Filmworks,mecha
Bandai Namco Filmworks,anime de science-fiction
Bandai Namco Filmworks,anti-war fiction
Bandai Namco Filmworks,science-fiction militaire
Bandai Namco Filmworks,manga et animé de genre drama
Bandai Namco Filmworks,comédie drame anime et manga
Bandai Namco Filmworks,manga ou anime d'aventure
Bandai Namco Filmworks,cross-over
Bandai Namco Filmworks,animé et manga en milieu scolaire
Bandai Namco Filmworks,manga et anime d'action
Bandai Namco Filmworks,Détective de l'occulte
Bandai Namco Filmworks,animé thriller
Bandai Namco Filmworks,animé mystère
Bandai Namco Filmworks,historical anime and manga
Bandai Namco Filmworks,sport
Bandai Namco Filmworks,isekai
Bandai Namco Filmworks,space western
